,Portfolio-Value-diff,Summe Einzel-Tages-PnL,Abweichung
2022-04-19,1419.9444240073499,1419.9444240073638,-1.3869794202037156e-11
2022-04-20,-2178.1084617065208,-2178.1084617064857,-3.501554601825774e-11
2022-04-21,-1351.0780727709935,-1351.0780727709996,6.139089236967266e-12
2022-04-22,-2303.9977090712637,-2303.997709071297,3.319655661471188e-11
2022-04-25,601.904034487321,601.9040344873364,-1.5347723092418164e-11
2022-04-26,-2927.0341489839484,-2927.0341489839584,1.000444171950221e-11
2022-04-27,297.4343659633305,297.4343659633338,-3.296918293926865e-12
2022-04-28,3001.372711783566,3001.3727117835692,-3.183231456205249e-12
2022-04-29,-3550.242206880357,-3550.2422068803326,-2.4556356947869062e-11
2022-05-02,11513.638557872095,1110.4428745446548,10403.19568332744
2022-05-03,222.5655240736669,222.56552407364902,1.787725523172412e-11
2022-05-04,2936.909187493031,2936.909187493015,1.5916157281026244e-11
2022-05-05,-4323.801122491772,-4323.80112249172,-5.184119800105691e-11
2022-05-06,-531.2331096676935,-531.233109667708,1.4551915228366852e-11
2022-05-09,-3595.8022228868795,-3595.8022228868836,4.092726157978177e-12
2022-05-10,679.2783833219146,679.2783833219137,9.094947017729282e-13
2022-05-11,-1933.4460627429653,-1933.446062742983,1.77351466845721e-11
2022-05-12,-152.31414657068672,-152.31414657067828,-8.44124770082999e-12
2022-05-13,2615.180727230676,2615.1807272306555,2.0463630789890885e-11
2022-05-16,-335.0668739678804,-335.06687396785264,-2.773958840407431e-11
2022-05-17,1921.3528839292703,1921.3528839292724,-2.0463630789890885e-12
2022-05-18,-4351.379406118154,-4351.379406118154,0.0
2022-05-19,-718.0054169862997,-718.0054169863017,2.0463630789890885e-12
2022-05-20,50.93135316201369,50.93135316200349,1.0203393685515039e-11
2022-05-23,1679.9065351448953,1679.9065351449026,-7.275957614183426e-12
2022-05-24,-1293.7970416984754,-1293.7970416985038,2.8421709430404007e-11
2022-05-25,1112.0647240772087,1112.0647240772198,-1.1141310096718371e-11
2022-05-26,2103.1064121543022,2103.106412154307,-4.547473508864641e-12
2022-05-27,2503.17482938763,2503.1748293876517,-2.1827872842550278e-11
